iter	Passed	Remaining
0	57	57127
1	57	28758
2	58	19325
3	58	14562
4	58	11705
5	59	9795
6	59	8432
7	59	7418
8	60	6651
9	60	6010
10	61	5496
11	61	5067
12	61	4706
13	62	4390
14	62	4127
15	63	3892
16	63	3680
17	64	3502
18	64	3333
19	64	3183
20	65	3046
21	65	2921
22	66	2817
23	66	2718
24	67	2622
25	67	2530
26	67	2445
27	68	2368
28	68	2296
29	68	2230
30	69	2167
31	69	2106
32	70	2052
33	70	1997
34	70	1946
35	70	1898
36	71	1858
37	71	1816
38	72	1774
39	72	1737
40	72	1701
41	73	1681
42	74	1647
43	74	1617
44	74	1586
45	75	1557
46	75	1529
47	75	1502
48	76	1476
49	76	1453
50	76	1430
51	77	1408
52	77	1387
53	78	1366
54	78	1346
55	78	1327
56	79	1308
57	79	1295
58	80	1279
59	80	1262
60	80	1246
61	81	1229
62	81	1213
63	81	1198
64	82	1185
65	82	1171
66	83	1156
67	83	1141
68	83	1127
69	83	1113
70	84	1102
71	84	1089
72	85	1080
73	85	1069
74	85	1058
75	86	1048
76	86	1037
77	86	1026
78	87	1016
79	87	1006
80	87	997
81	88	987
82	88	978
83	88	970
84	89	960
85	89	951
86	89	941
87	90	933
88	90	926
89	90	918
90	91	910
91	91	903
92	91	895
93	92	888
94	92	881
95	92	874
96	93	867
97	93	860
98	93	853
99	94	846
100	94	840
101	94	831
102	94	825
103	95	819
104	95	813
105	95	807
106	96	801
107	96	796
108	96	790
109	96	784
110	97	778
111	97	774
112	97	768
113	98	764
114	98	758
115	98	752
116	99	747
117	99	742
118	99	737
119	99	732
120	100	727
121	100	723
122	100	717
123	101	714
124	101	710
125	101	706
126	102	702
127	102	699
128	103	695
129	103	691
130	103	687
131	103	683
132	104	679
133	104	676
134	104	672
135	105	668
136	105	666
137	106	662
138	106	658
139	106	656
140	107	652
141	107	649
142	107	646
143	108	643
144	108	639
145	108	636
146	109	633
147	109	630
148	109	627
149	110	624
150	110	621
151	110	619
152	111	616
153	111	613
154	112	610
155	112	607
156	112	605
157	113	602
158	113	600
159	113	597
160	114	595
161	114	592
162	114	590
163	115	587
164	115	584
165	115	582
166	116	579
167	116	577
168	116	574
169	117	571
170	117	569
171	117	566
172	118	564
173	118	561
174	118	559
175	118	556
176	119	554
177	119	552
178	119	549
179	120	547
180	120	544
181	120	542
182	120	540
183	121	537
184	121	535
185	121	533
186	122	531
187	122	529
188	122	527
189	123	525
190	123	523
191	123	521
192	124	519
193	124	517
194	124	515
195	125	513
196	125	511
197	125	509
198	126	508
199	126	506
200	126	504
201	127	502
202	127	501
203	127	499
204	128	497
205	128	495
206	128	493
207	129	491
208	129	490
209	130	489
210	130	487
211	130	485
212	130	484
213	131	482
214	131	480
215	132	479
216	132	478
217	132	476
218	133	474
219	133	472
220	133	471
221	134	469
222	134	468
223	134	466
224	135	465
225	135	463
226	135	462
227	135	460
228	136	458
229	136	457
230	137	456
231	137	454
232	137	452
233	137	451
234	138	450
235	138	448
236	138	446
237	139	445
238	139	443
239	139	442
240	140	441
241	140	440
242	140	438
243	141	437
244	141	436
245	142	435
246	142	433
247	142	432
248	143	431
249	143	429
250	143	428
251	143	427
252	144	425
253	144	424
254	144	422
255	145	421
256	145	420
257	145	419
258	146	417
259	146	416
260	146	415
261	147	414
262	147	413
263	148	412
264	148	411
265	148	410
266	149	409
267	149	408
268	149	407
269	150	405
270	150	404
271	150	403
272	151	402
273	151	401
274	151	399
275	151	398
276	152	397
277	152	396
278	152	395
279	153	394
280	153	393
281	153	392
282	154	390
283	154	389
284	154	388
285	155	387
286	155	386
287	155	385
288	156	384
289	156	383
290	157	382
291	157	381
292	157	380
293	158	379
294	158	378
295	158	377
296	159	376
297	159	375
298	159	374
299	160	373
300	160	372
301	160	371
302	161	370
303	161	370
304	161	369
305	162	367
306	162	366
307	162	365
308	163	365
309	163	364
310	163	363
311	164	362
312	164	361
313	165	360
314	165	359
315	165	358
316	165	357
317	166	356
318	166	356
319	167	355
320	167	354
321	167	353
322	168	352
323	168	351
324	168	350
325	169	349
326	169	348
327	169	347
328	170	346
329	170	345
330	170	345
331	171	344
332	171	343
333	171	342
334	172	341
335	172	341
336	172	340
337	173	339
338	173	338
339	174	338
340	174	337
341	174	336
342	175	335
343	175	334
344	175	333
345	176	333
346	176	332
347	176	331
348	177	331
349	177	330
350	178	329
351	178	328
352	178	327
353	179	326
354	179	325
355	179	325
356	180	324
357	180	323
358	181	323
359	181	322
360	181	321
361	182	320
362	182	320
363	182	319
364	183	318
365	183	317
366	183	316
367	184	316
368	184	315
369	184	314
370	185	313
371	185	313
372	185	312
373	186	311
374	186	310
375	186	309
376	187	309
377	187	308
378	187	307
379	188	306
380	188	305
381	188	305
