iter	Passed	Remaining
0	1	1192
1	1	792
2	1	628
3	2	564
4	2	520
5	2	478
6	3	458
7	3	457
8	4	452
9	4	448
10	4	443
11	5	439
12	5	433
13	6	425
14	6	416
15	6	416
16	7	408
17	7	405
18	7	408
19	8	405
20	8	404
21	9	401
22	9	399
23	9	395
24	10	395
25	10	390
26	10	385
27	10	380
28	11	376
29	11	374
30	11	373
31	12	370
32	12	367
33	12	364
34	13	361
35	13	358
36	13	356
37	14	355
38	14	353
39	14	352
40	15	351
41	15	348
42	15	352
43	16	354
44	16	357
45	17	355
46	17	354
47	17	353
48	18	352
49	18	352
50	18	351
51	19	351
52	19	350
53	20	350
54	20	348
55	20	347
56	21	347
57	21	347
58	21	347
59	22	346
60	22	344
61	22	343
62	23	342
63	23	340
64	23	338
65	23	336
66	24	335
67	24	334
68	24	332
69	25	332
70	25	332
71	25	331
72	26	330
73	26	330
74	26	330
75	27	330
76	27	332
77	28	334
78	28	334
79	29	333
80	29	333
81	29	333
82	29	330
83	30	330
84	30	329
85	31	329
86	31	329
87	31	330
88	32	330
89	32	329
90	32	328
91	33	329
92	33	328
93	34	327
94	34	327
95	34	327
96	35	327
97	35	326
98	35	325
99	36	325
100	36	325
101	36	324
102	37	324
103	37	323
104	37	323
105	38	322
106	38	321
107	38	320
108	39	320
109	39	319
110	39	319
111	40	319
112	40	318
113	40	317
114	41	317
115	41	316
116	41	316
117	42	315
118	42	314
119	42	313
120	43	312
121	43	311
122	43	310
123	43	310
124	44	310
125	44	309
126	44	308
127	45	307
128	45	307
129	45	307
130	46	306
131	46	306
132	46	305
133	47	305
134	47	305
135	47	304
136	48	304
137	48	303
138	48	303
139	49	302
140	49	302
141	49	300
142	50	300
143	50	300
144	50	299
145	51	299
146	51	298
147	51	298
148	52	297
149	52	297
150	52	297
151	53	296
152	53	296
153	53	295
154	54	294
155	54	294
156	54	293
157	55	293
158	55	292
159	55	292
160	55	290
161	56	290
162	56	290
163	56	289
164	57	289
165	57	288
166	57	289
167	58	289
168	58	289
169	59	289
170	59	288
171	59	288
172	60	287
173	60	287
174	60	286
175	61	285
176	61	285
177	61	285
178	62	284
179	62	283
180	62	283
181	63	284
182	63	284
183	64	284
184	64	283
185	64	283
186	65	283
187	65	283
188	65	282
189	66	282
190	66	281
191	66	281
192	67	281
193	67	281
194	68	282
195	68	282
196	69	282
197	69	283
198	70	282
199	70	282
200	70	282
201	71	281
202	71	280
203	72	282
204	72	281
205	72	281
206	73	280
